"Latest: Time (s)","Latest: Radiation (Counts)"
5,0
10,1
15,1
20,0
25,4
30,0
35,0
40,1
45,0
50,1
55,1
60,1
65,1
70,1
75,1
80,1
85,3
90,0
95,1
100,1
105,2
110,1
115,1
120,0
125,1
130,5
135,1
140,2
145,1
150,0
155,2
160,0
165,4
170,1
175,1
180,2
185,0
190,1
195,0
200,1
205,1
210,1
215,2
220,0
225,3
230,0
235,3
240,0
245,2
250,2
255,1
260,0
265,1
270,0
275,1
280,0
285,2
290,1
295,0
300,2
305,0
310,3
315,2
320,1
325,1
330,1
335,0
340,0
345,0
350,0
355,0
360,1
365,1
370,0
375,1
380,0
385,0
390,2
395,1
400,0
405,2
410,1
415,1
420,2
425,1
430,3
435,1
440,4
445,1
450,1
455,1
460,3
465,0
470,1
475,0
480,1
485,1
490,2
495,2
500,1
505,2
510,0
515,0
520,2
525,0
530,0
535,0
540,2
545,4
550,1
555,1
560,2
565,2
570,0
575,1
580,3
585,3
590,0
595,1
600,0
