"Latest: Time (s)","Latest: Radiation (Counts)"
5,3
10,1
15,1
20,1
25,0
30,5
35,0
40,2
45,2
50,1
55,1
60,0
65,2
70,2
75,4
80,1
85,1
90,1
95,0
100,0
105,2
110,4
115,0
120,1
125,2
130,2
135,3
140,0
145,0
150,2
155,1
160,0
165,1
170,2
175,1
180,1
185,0
190,1
195,2
200,0
205,2
210,4
215,3
220,2
225,3
230,3
235,3
240,3
245,2
250,2
255,2
260,3
265,3
270,3
275,3
280,3
285,0
290,1
295,2
300,1
305,3
310,6
315,1
320,0
325,0
330,1
335,1
340,3
345,0
350,1
355,0
360,3
365,1
370,1
375,0
380,1
385,0
390,4
395,3
400,0
405,3
410,3
415,1
420,2
425,2
430,2
435,1
440,1
445,3
450,2
455,1
460,2
465,2
470,3
475,2
480,1
485,1
490,1
495,1
500,2
505,0
510,2
515,2
520,0
525,2
530,1
535,2
540,1
545,4
550,2
555,1
560,2
565,5
570,1
575,0
580,0
585,3
590,1
595,1
600,0
