Vernier Format 2
rad_40cm.cmbl 4/19/2024 14:06:25 .
Latest
Time	Radiation
t	Rad
min	Counts

0.01	2
0.02	2
0.03	1
0.04	1
0.05	3
0.06	2
0.07	2
0.08	0
0.09	1
0.1	3
0.11	1
0.12	1
0.13	0
0.14	3
0.15	0
0.16	0
0.17	0
0.18	1
0.19	3
0.2	0
0.21	2
0.22	4
0.23	0
0.24	1
0.25	0
0.26	3
0.27	2
0.28	0
0.29	2
0.3	0
0.31	1
0.32	0
0.33	1
0.34	1
0.35	2
0.36	1
0.37	1
0.38	2
0.39	4
0.4	0
0.41	0
0.42	4
0.43	1
0.44	1
0.45	1
0.46	1
0.47	1
0.48	2
0.49	0
0.5	1
0.51	1
0.52	0
0.53	1
0.54	1
0.55	1
0.56	1
0.57	1
0.58	1
0.59	0
0.6	1
0.61	1
0.62	0
0.63	2
0.64	4
0.65	3
0.66	0
0.67	1
0.68	3
0.69	1
0.7	1
0.71	5
0.72	1
0.73	4
0.74	3
0.75	0
0.76	4
0.77	0
0.78	2
0.79	1
0.8	3
0.81	1
0.82	1
0.83	2
0.84	2
0.85	0
0.86	1
0.87	0
0.88	1
0.89	0
0.9	0
0.91	1
0.92	1
0.93	3
0.94	2
0.95	3
0.96	2
0.97	0
0.98	2
0.99	1
1	1
1.01	0
1.02	1
1.03	1
1.04	1
1.05	1
1.06	0
1.07	1
1.08	0
1.09	1
1.1	1
1.11	0
1.12	0
1.13	0
1.14	2
1.15	2
1.16	1
1.17	1
1.18	1
1.19	1
1.2	1
1.21	2
1.22	0
1.23	1
1.24	0
1.25	4
1.26	3
1.27	0
1.28	2
1.29	1
1.3	1
1.31	3
1.32	2
1.33	5
1.34	1
1.35	0
1.36	2
1.37	3
1.38	4
1.39	4
1.4	1
1.41	2
1.42	1
1.43	1
1.44	1
1.45	1
1.46	1
1.47	1
1.48	2
1.49	1
1.5	0
1.51	1
1.52	1
1.53	0
1.54	2
1.55	1
1.56	3
1.57	3
1.58	2
1.59	2
1.6	2
1.61	5
1.62	1
1.63	2
1.64	1
1.65	2
1.66	0
1.67	2
1.68	1
1.69	0
1.7	0
1.71	2
1.72	2
1.73	3
1.74	1
1.75	1
1.76	2
1.77	0
1.78	5
1.79	1
1.8	0
1.81	1
1.82	3
1.83	1
1.84	2
1.85	1
1.86	0
1.87	3
1.88	2
1.89	2
1.9	1
1.91	0
1.92	3
1.93	0
1.94	4
1.95	2
1.96	1
1.97	0
1.98	0
1.99	2
2	2
2.01	2
2.02	1
2.03	0
2.04	2
2.05	3
2.06	1
2.07	0
2.08	1
2.09	0
2.1	0
2.11	2
2.12	2
2.13	3
2.14	2
2.15	2
2.16	2
2.17	1
2.18	1
2.19	2
2.2	0
2.21	1
2.22	1
2.23	5
2.24	0
2.25	4
2.26	1
2.27	1
2.28	0
2.29	2
2.3	4
2.31	3
2.32	1
2.33	1
2.34	0
2.35	0
2.36	4
2.37	2
2.38	0
2.39	3
2.4	1
2.41	1
2.42	2
2.43	0
2.44	1
2.45	4
2.46	0
2.47	1
2.48	0
2.49	0
2.5	2
2.51	2
2.52	1
2.53	4
2.54	1
2.55	4
2.56	0
2.57	1
2.58	0
2.59	3
2.6	0
2.61	2
2.62	3
2.63	0
2.64	3
2.65	7
2.66	1
2.67	1
2.68	1
2.69	0
2.7	1
2.71	1
2.72	0
2.73	1
2.74	3
2.75	1
2.76	1
2.77	2
2.78	1
2.79	4
2.8	3
2.81	4
2.82	3
2.83	1
2.84	2
2.85	0
2.86	1
2.87	2
2.88	0
2.89	0
2.9	1
2.91	0
2.92	0
2.93	0
2.94	1
2.95	0
2.96	1
2.97	1
2.98	0
2.99	0
3	2
